datasetURI,distributionURI,accessURL,mediaType,catalogTitle,,,,
http://data.europa.eu/88u/dataset/vaiolo-delle-scimmie,http://data.europa.eu/88u/distribution/a7ca0655-31ef-4437-8394-14796fcda03b,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/vaiolo-delle-scimmie/ECDC-WHO/data-summary-outcome.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/cambi-residenza-per-stato-lavorazione,http://data.europa.eu/88u/distribution/dd61a7e2-7378-46a3-9462-c2f6e150c31f,https://raw.githubusercontent.com/italia/anpr-opendata/main/data/cambi_residenza_per_stato_lavorazione.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/contributo-di-sostentamento,http://data.europa.eu/88u/distribution/1cd9f13c-866e-47d9-afe9-8d69860ec1ee,https://raw.githubusercontent.com/pcm-dpc/UKR-2022/master/data/subsistence-allowance/dpc-ukr-2022--subsistence-allowance.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/cambi-residenza-per-stato-lavorazione,http://data.europa.eu/88u/distribution/83be871b-83ad-40dc-bea1-27fce5006b20,https://raw.githubusercontent.com/italia/anpr-opendata/main/data/cambi_residenza_per_stato_lavorazione.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/vaiolo-delle-scimmie,http://data.europa.eu/88u/distribution/60f57e4d-aa09-4ccd-9190-4b88272f14e8,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/vaiolo-delle-scimmie/ECDC-WHO/age-sex-cases.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-enti-con-piu-connessioni-abilitate-ultimi-6-mesi,http://data.europa.eu/88u/distribution/1cb163c4-2e0c-4e7d-b6c4-9dc8eebcd33a,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/enti_con_piu_connessioni_abilitate_last_six_months.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/vaiolo-delle-scimmie,http://data.europa.eu/88u/distribution/2327934a-6c20-4244-950e-371ce8f9e0da,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/vaiolo-delle-scimmie/Italy/mpox-region.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/visure-e-autocertificazioni,http://data.europa.eu/88u/distribution/15a21e55-a9ad-404b-b785-923e950c1ca4,https://raw.githubusercontent.com/italia/anpr-opendata/main/data/visure_autocertificazioni_export.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/segnalazioni-aggiornate,http://data.europa.eu/88u/distribution/94c7656a-9020-4251-a933-088d7996cd63,https://raw.githubusercontent.com/emergenzeHack/covid19italia_data/master/issuesjson.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/certificati-mese-in-corso,http://data.europa.eu/88u/distribution/1851506f-fda9-4662-bdf9-29490f188b2e,https://raw.githubusercontent.com/italia/anpr-opendata/main/data/certificati_last_month.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/vaiolo-delle-scimmie,http://data.europa.eu/88u/distribution/433ccb8e-6219-4c6b-9289-aafa6c698003,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/vaiolo-delle-scimmie/Italy/mpox-italy.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/lista-comuni-colpiti,http://data.europa.eu/88u/distribution/3a93cc01-fe84-4cc6-9f6a-0ec234003cdb,https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/comuni.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/vaiolo-delle-scimmie,http://data.europa.eu/88u/distribution/0ff2eb72-32f0-4ff6-b7f3-c06f524c43e9,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/vaiolo-delle-scimmie/ECDC-WHO/epicurve-by-typedate.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/accessi,http://data.europa.eu/88u/distribution/bf9ef0ae-cb37-4db9-94ff-e936509b948c,https://raw.githubusercontent.com/italia/anpr-opendata/main/data/accessi_export.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/vaiolo-delle-scimmie,http://data.europa.eu/88u/distribution/ca8b0ab9-cf9b-4381-beb5-e0026ec83da2,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/vaiolo-delle-scimmie/ECDC-WHO/data-summary.csv,text/csv,dati.gov.it,,,,
